Startdatum,Starttid,Slutdatum,Sluttid,Subject,Description,Location,Private
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG31)","Information till student: Dialogseminarium: obligatorisk närvaro - U11<br/>Lokal: KG31<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Sonia Sangari",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG32)","Information till student: Dialogseminarium: obligatorisk närvaro - U15<br/>Lokal: KG32<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Kristina Boström",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG33)","Information till student: Dialogseminarium: obligatorisk närvaro - U16<br/>Lokal: KG33<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Niklas Lanzén",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG34)","Information till student: Dialogseminarium: obligatorisk närvaro - U18<br/>Lokal: KG34<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Susanna Dahlgren",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG36)","Information till student: Dialogseminarium: obligatorisk närvaro - U20<br/>Lokal: KG36<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Hanna Müller",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG41)","Information till student: Dialogseminarium: obligatorisk närvaro - U19<br/>Lokal: KG41<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Therese Öberg",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG47)","Information till student: Dialogseminarium: obligatorisk närvaro - U17<br/>Lokal: KG47<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: August Ernstsson",,True
2024-10-22,08:15,2024-10-22,10:00,TDDE23 Laboration (SU02),Information till student: <br/>Lokal: SU02<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: ,,True
2024-10-22,08:15,2024-10-22,10:00,TDDE23 Laboration (SU03),Information till student: <br/>Lokal: SU03<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 4<br/>Lärare: ,,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG21)","Information till student: Dialogseminarium: obligatorisk närvaro - U03<br/>Lokal: KG21<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Ahmed Rezine",,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG22)","Information till student: Dialogseminarium: obligatorisk närvaro - U05<br/>Lokal: KG22<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Helena Orädd",,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG23)","Information till student: Dialogseminarium: obligatorisk närvaro - U14<br/>Lokal: KG23<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Aseel Berglund",,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG31)","Information till student: Dialogseminarium: obligatorisk närvaro - U09<br/>Lokal: KG31<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Eva Ragnemalm",,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG32)","Information till student: Dialogseminarium: obligatorisk närvaro - U13<br/>Lokal: KG32<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Kristina Boström",,True
2024-10-22,13:15,2024-10-22,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG33)","Information till student: Dialogseminarium: obligatorisk närvaro - U07<br/>Lokal: KG33<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: August Ernstsson",,True
2024-11-04,13:15,2024-11-04,17:00,TDDE25 Laboration (SU15/16),"Information till student: <br/>Lokal: SU15/16<br/>Studentgrupp: D1,U1<br/>Fria grupper: Storgrupp 3<br/>Lärare: Thea Antonson",,True
2024-11-04,13:15,2024-11-04,17:00,TDDE25 Laboration (SU17/18),"Information till student: <br/>Lokal: SU17/18<br/>Studentgrupp: D1,U1<br/>Fria grupper: Storgrupp 4<br/>Lärare: Erik Avedal Holmsten",,True
2024-11-04,13:15,2024-11-04,17:00,"TDDE25 Laboration (SU24,SU25)","Information till student: <br/>Lokal: SU24,SU25<br/>Studentgrupp: U1<br/>Fria grupper: Storgrupp 5<br/>Lärare: Arthur Junior Nordström",,True
2024-11-05,10:15,2024-11-05,12:00,"TDDD72,TDDD88 Föreläsning (VAL1)","Information till student: <br/>Lokal: VAL1<br/>Studentgrupp: D3,MAT3,U1<br/>Fria grupper: <br/>Lärare: Johannes Klaus Fichte",,True
